cause_of_death,category_human,train_test
toxic nephropathy not elsewhere classified,none,train
toxic shock syndrome,none,test
toxoplasma meningoencephalitis,none,train
toxoplasmosis unspecified,none,train
toxoplasmosis with other organ involvement,none,train
trachoma unspecified,none,train
transient cerebral ischaemic attack unspecified,cerebrovascular disease,test
transient myocardial ischaemia of newborn,none,train
traumatic arthropathy,none,train
trichilemmal cyst,none,test
tricuspid insufficiency,none,train
tricuspid stenosis,none,train
tricuspid valve disease unspecified,none,train
trifascicular block,none,train
trigeminal neuralgia,none,test
triploidy and polyploidy,none,test
trisomy 21 mosaicism mitotic nondisjunction,none,train
trisomy and partial trisomy of autosomes unspecified,none,train
trochanteric bursitis,none,train
tropical spastic paraplegia,none,train
tubal pregnancy,none,test
tuberculosis complicating pregnancy childbirth and the puerperium,none,test
tuberculosis of adrenal glands,none,train
tuberculosis of bones and joints,none,train
tuberculosis of genitourinary system,none,train
tuberculosis of intestines peritoneum and mesenteric glands,none,test
tuberculosis of larynx trachea and bronchus without mention of bacteriological or histological confirmation,none,test
tuberculosis of lung bacteriologically and histologically negative,none,train
tuberculosis of lung without mention of bacteriological or histological confirmation,none,train
tuberculosis of nervous system unspecified,none,train
tuberculosis of other specified organs,none,test
tuberculosis of skin and subcutaneous tissue,none,train
tuberculous meningitis,none,train
tuberculous peripheral lymphadenopathy,none,train
tuberculous pleurisy without mention of bacteriological or histological confirmation,none,train
tuberous sclerosis,none,test
tumour lysis syndrome,none,train
turner syndrome unspecified,none,train
twin pregnancy,none,train
typhoid fever,none,test
ulcer of anus and rectum,none,test
ulcer of intestine,none,train
ulcer of oesophagus,none,train
ulcer of penis,none,train
ulceration of vulva,none,test
ulcerative chronic pancolitis,none,test
ulcerative chronic proctitis,none,train
ulcerative chronic rectosigmoiditis,none,train
ulcerative colitis unspecified,none,train
ultralight microlight or powered-glider accident injuring occupant,none,test
umbilical hernia with gangrene,none,train
umbilical hernia with obstruction without gangrene,none,train
umbilical hernia without obstruction or gangrene,none,test
undescended testicle unilateral,none,train
undescended testicle unspecified,none,train
unifocal langerhans-cell histiocytosis,none,train
unilateral or unspecified femoral hernia with gangrene,none,test
unilateral or unspecified femoral hernia with obstruction without gangrene,none,test
unilateral or unspecified femoral hernia without obstruction or gangrene,none,test
unilateral or unspecified inguinal hernia with gangrene,none,train
unilateral or unspecified inguinal hernia with obstruction without gangrene,none,train
unilateral or unspecified inguinal hernia without obstruction or gangrene,none,test
unspecified abdominal hernia with gangrene,none,test
unspecified abdominal hernia with obstruction without gangrene,none,train
unspecified abdominal hernia without obstruction or gangrene,none,train
unspecified abortion complete or unspecified without complication,none,train
unspecified aircraft accident injuring occupant,none,train
unspecified brain damage due to birth injury,none,test
unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident,none,test
unspecified chronic respiratory disease originating in the perinatal period,none,train
unspecified cleft palate with unilateral cleft lip,none,test
unspecified condition associated with female genital organs and menstrual cycle,none,train
unspecified contact dermatitis unspecified cause,none,train
unspecified diabetes mellitus with coma,none,train
unspecified diabetes mellitus with ketoacidosis,none,test
unspecified diabetes mellitus with multiple complications,none,train
unspecified diabetes mellitus with neurological complications,none,train
unspecified diabetes mellitus with ophthalmic complications,none,train
unspecified diabetes mellitus with other specified complications,none,train
unspecified diabetes mellitus with peripheral circulatory complications,none,train
unspecified diabetes mellitus with renal complications,none,train
unspecified diabetes mellitus with unspecified complications,none,test
unspecified diabetes mellitus without complications,none,train
unspecified haemorrhoids with other complications until 2013 - then moved to k64,none,test
unspecified haemorrhoids without complication until 2013 - then moved to k64,none,train
unspecified intraventricular nontraumatic haemorrhage of fetus and newborn,none,train
unspecified mental disorder due to brain damage and dysfunction and to physical disease,none,train
unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in nontraffic accident,none,train
unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in traffic accident,none,test
unspecified nephritic syndrome diffuse crescentic glomerulonephritis,none,train
unspecified nephritic syndrome diffuse endocapillary proliferative glomerulonephritis,none,test
unspecified nephritic syndrome diffuse membranous glomerulonephritis,none,train
unspecified nephritic syndrome diffuse mesangial proliferative glomerulonephritis,none,train
unspecified nephritic syndrome diffuse mesangiocapillary glomerulonephritis,none,train
unspecified nephritic syndrome focal and segmental glomerular lesions,none,train
unspecified nephritic syndrome minor glomerular abnormality,none,train
unspecified nephritic syndrome other,none,test
unspecified nephritic syndrome unspecified,none,train
unspecified occupant of all-terrain or other off-road motor vehicle injured in nontraffic accident,none,train
unspecified occupant of special agricultural vehicle injured in nontraffic accident,none,train
unspecified occupant of special construction vehicle injured in nontraffic accident,none,train
unspecified occupant of special industrial vehicle injured in nontraffic accident,none,train
unspecified osteoporosis with pathological fracture,none,train
unspecified parametritis and pelvic cellulitis,none,train
unspecified pedal cyclist injured in collision with other and unspecified motor vehicles in traffic accident,none,train
unspecified pre-existing hypertension complicating pregnancy childbirth and the puerperium,none,test
unspecified pulmonary haemorrhage originating in the perinatal period,none,train
unspecified respiratory condition due to chemicals gases fumes and vapours,none,test
unspecified spina bifida with hydrocephalus,none,train
unspecified viral hepatitis with hepatic coma,none,train
unspecified viral hepatitis without hepatic coma,none,test
unspecified visual impairment binocular,none,test
unstable angina,ischaemic heart disease,train
urethral abscess,none,test
urethral disorder unspecified,none,test
urethral fistula,none,train
urethral stricture unspecified,none,train
urinary calculus unspecified,none,test
urinary catheterization,none,test
urinary tract infection site not specified,none,train
urticaria unspecified,none,test
uterovaginal prolapse unspecified,none,train
vaccine or biological substance unspecified,none,test
vaginal delivery following previous caesarean section,none,test
vaping-related disorder,none,train
varicella encephalitis,none,train
varicella meningitis,none,test
varicella pneumonia,none,train
varicella without complication,none,train
varicose veins of lower extremities with both ulcer and inflammation,none,train
varicose veins of lower extremities with inflammation,none,train
